,mape
2010-11-02,3.185056079297499
2010-11-03,1.7330561400395061
2010-11-04,2.3632591137494314
2010-11-05,2.517795271025522
2010-11-06,8.224254206845595
2010-11-07,6.108937929963123
2010-11-08,3.918871930166029
2010-11-09,1.2327567355205835
2010-11-10,2.999069930847646
2010-11-11,2.2500803756973253
2010-11-12,2.3450729147767384
2010-11-13,6.408567841980584
2010-11-14,2.8471904047092553
2010-11-15,5.088132426599856
2010-11-16,1.5376874756782637
2010-11-17,1.6887594011070979
2010-11-18,1.9250746757799535
2010-11-19,2.834960712271228
2010-11-20,5.50214799068508
2010-11-21,7.711748988683033
2010-11-22,4.338349399078229
2010-11-23,1.2018528208237895
2010-11-24,1.985573552618566
2010-11-25,2.110020378968947
2010-11-26,1.927996244930812
2010-11-27,7.08286463672431
2010-11-28,4.975242097813502
2010-11-29,2.6024370514590975
