date,hour,temp,load
2006-01-06,0.0,20.4,7536.123329999999
2006-01-06,0.5,20.2,7351.495
2006-01-06,1.0,20.0,7075.27167
2006-01-06,1.5,19.85,6745.605
2006-01-06,2.0,19.7,6373.425
2006-01-06,2.5,19.55,6193.19333
2006-01-06,3.0,19.4,6100.96833
2006-01-06,3.5,19.45,6103.505
2006-01-06,4.0,19.5,6135.67
2006-01-06,4.5,19.75,6273.98667
2006-01-06,5.0,20.0,6468.90667
2006-01-06,5.5,20.35,6869.505
2006-01-06,6.0,20.7,7231.0816700000005
2006-01-06,6.5,21.45,7570.15667
2006-01-06,7.0,22.2,7925.63667
2006-01-06,7.5,22.55,8362.99667
2006-01-06,8.0,22.9,8703.20833
2006-01-06,8.5,23.2,9049.52
2006-01-06,9.0,23.5,9208.065
2006-01-06,9.5,24.2,9353.45167
2006-01-06,10.0,24.9,9393.59667
2006-01-06,10.5,24.65,9349.065
2006-01-06,11.0,24.4,9449.09667
2006-01-06,11.5,25.0,9434.12167
2006-01-06,12.0,25.6,9479.70667
2006-01-06,12.5,25.45,9507.17167
2006-01-06,13.0,25.3,9518.45833
2006-01-06,13.5,25.6,9541.348329999999
2006-01-06,14.0,25.9,9589.825
2006-01-06,14.5,25.7,9611.14
2006-01-06,15.0,25.5,9612.58667
2006-01-06,15.5,25.5,9673.71
2006-01-06,16.0,25.5,9618.33
2006-01-06,16.5,25.3,9555.03
2006-01-06,17.0,25.1,9404.53667
2006-01-06,17.5,24.4,9104.795
2006-01-06,18.0,23.7,8928.026670000001
2006-01-06,18.5,22.9,8689.27
2006-01-06,19.0,22.1,8530.553329999999
2006-01-06,19.5,21.25,8474.36333
2006-01-06,20.0,20.4,8452.73833
2006-01-06,20.5,20.65,8276.66167
2006-01-06,21.0,20.9,8018.165
2006-01-06,21.5,21.3,8142.41167
2006-01-06,22.0,21.7,8091.98
2006-01-06,22.5,21.7,8142.59667
2006-01-06,23.0,21.7,7995.39167
2006-01-06,23.5,21.7,7819.59
2006-01-07,0.0,21.7,7619.9
2006-01-07,0.5,21.6,7390.98
2006-01-07,1.0,21.5,7084.75833
2006-01-07,1.5,21.4,6742.413329999999
2006-01-07,2.0,21.3,6433.325
2006-01-07,2.5,21.5,6251.47333
2006-01-07,3.0,21.7,6110.9
2006-01-07,3.5,21.65,6035.61167
2006-01-07,4.0,21.6,5979.966670000001
2006-01-07,4.5,21.5,6094.5416700000005
2006-01-07,5.0,21.4,6165.06833
2006-01-07,5.5,21.6,6216.08833
2006-01-07,6.0,21.8,6366.43333
2006-01-07,6.5,22.25,6640.7066700000005
2006-01-07,7.0,22.7,7005.09
2006-01-07,7.5,23.05,7439.02333
2006-01-07,8.0,23.4,7846.22333
2006-01-07,8.5,24.0,8219.12667
2006-01-07,9.0,24.6,8341.635
2006-01-07,9.5,25.05,8530.063329999999
2006-01-07,10.0,25.5,8541.365
2006-01-07,10.5,25.75,8539.335
2006-01-07,11.0,26.0,8508.52833
2006-01-07,11.5,26.25,8447.73667
2006-01-07,12.0,26.5,8441.688329999999
2006-01-07,12.5,26.3,8412.95167
2006-01-07,13.0,26.1,8361.135
2006-01-07,13.5,25.8,8283.93
