date,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2005/7/1,952012,879680,838025,820395,814464,845382,888926,963636,1026249,1103685,1175745,1208970,1257471,1300589,1287540,1296057,1315231,1320202,1303934,1287002,1261414,1243128,1155277,1041151
2005/7/2,946174,886865,838899,808132,795638,790523,804243,857333,931807,1002419,1048258,1074642,1101606,1128577,1154674,1172536,1180940,1185764,1156594,1116165,1062811,1041131,966632,875846
2005/7/3,792495,734336,703127,671548,666880,664526,668650,724864,808609,878809,917757,959053,998721,1014547,1023368,1032186,1045848,1038041,1012346,981056,954329,934169,887609,820596
2005/7/8,771228,742850,719278,713101,718855,751560,815653,863995,907032,950186,986146,1027199,1034615,1029331,1024038,1049147,1063508,1088250,1092842,1056787,1030795,1014860,922207,841106
2005/7/9,754096,720844,690294,673189,664394,673850,688397,746835,835281,914854,985109,1040548,1068625,1116059,1137942,1160247,1183990,1191573,1166965,1127589,1063605,1042983,946860,844996
2005/7/10,774899,718102,685524,662852,659327,657245,663946,733706,840172,935724,995543,1042337,1092896,1129448,1162779,1190096,1220399,1245519,1229287,1187607,1139516,1114671,1018847,908357
2005/7/15,883584,843633,811048,800956,807163,836591,902541,960122,1001727,1052578,1116063,1155096,1195017,1229965,1248664,1270265,1289412,1274618,1251597,1211871,1189879,1164875,1082214,993285
2005/7/16,907874,856164,823188,802210,784878,791733,817927,869413,950382,1025375,1107365,1175614,1225016,1270077,1296131,1292545,1293370,1281019,1254983,1210404,1173794,1134728,1060913,973596
2005/7/17,892982,836395,792761,771293,760947,761499,775051,833342,929033,1039380,1129115,1200141,1255855,1279201,1266751,1248646,1236531,1242882,1233597,1215277,1198247,1186462,1100637,1003099
2005/7/22,969746,923653,877906,860569,864285,897753,947957,1035733,1105855,1183034,1266865,1331749,1375313,1406640,1422032,1403684,1374326,1378236,1376911,1327063,1284489,1251912,1159421,1048563
2005/7/23,968399,906388,862733,838155,823193,828153,843062,902377,1014014,1113321,1182913,1229832,1250588,1269771,1275302,1276532,1288211,1283855,1258969,1197074,1132794,1096055,993574,894404
2005/7/24,805115,760744,723399,685069,693842,684925,684750,734776,838728,920586,1008357,1051974,1092961,1115327,1150249,1187473,1186520,1180743,1166195,1136490,1117253,1106509,1019303,929316
2005/7/29,843011,805289,783328,777686,784798,829145,886642,938825,972242,1004092,1046471,1062166,1078656,1096859,1096253,1113878,1125045,1123356,1107288,1083733,1074258,1056516,994910,911516
2005/7/30,850646,806162,786668,766971,759243,762102,790280,831735,897468,963910,1010652,1044632,1077084,1107546,1129147,1143202,1164643,1161302,1151930,1097590,1056189,1029455,951207,872887
2005/7/31,794373,746830,715493,705891,703638,704441,715532,752226,849970,936460,992458,1036860,1073163,1106709,1116847,1131558,1161531,1174743,1144926,1114283,1088417,1065512,980509,882243
2005/8/5,1008657,954916,914391,886663,879845,906499,956635,1032293,1103029,1186616,1288748,1359477,1355500,1392300,1419986,1416351,1404810,1378538,1343448,1275016,1248945,1204277,1106224,997736
2005/8/6,920538,886616,857193,827690,804291,803248,834684,872782,949519,1034176,1111262,1173844,1203004,1244074,1268320,1288155,1275882,1235277,1188262,1136943,1111643,1071130,1001302,920338
2005/8/7,854809,812776,775723,754958,743421,748021,761806,806436,883994,964755,1021048,1079899,1134359,1185597,1207994,1214590,1210092,1211088,1181171,1134282,1123251,1085381,1000750,914749
2005/8/12,1002535,943042,915253,900673,889433,922233,979193,1048539,1122183,1180890,1275351,1358137,1418344,1471319,1455626,1454125,1446466,1421958,1398062,1377969,1366979,1312808,1208989,1102877
2005/8/13,1022500,977169,939189,906321,895659,891955,902101,951134,1051404,1160509,1259977,1334978,1395008,1431260,1452414,1464369,1473327,1460954,1405562,1355004,1328923,1278329,1168078,1067612
2005/8/14,977124,916867,880174,858853,840561,836318,838849,887809,1001352,1115767,1219722,1288683,1352358,1399638,1429720,1437476,1469295,1470160,1425918,1378041,1347181,1309494,1200740,1098454
2005/8/19,874388,832752,809030,800542,804630,845480,911309,969897,1002518,1032562,1063898,1061733,1058926,1067208,1068710,1071095,1064423,1063217,1056645,1044337,1054238,1034569,981296,903856
2005/8/20,838635,792876,768105,750678,736018,752743,778593,830152,906143,987061,1059780,1151632,1216056,1268278,1307500,1345549,1363631,1368377,1333890,1286923,1268287,1214337,1124301,1035687
2005/8/21,957729,907121,870170,849036,822072,814924,828830,877319,995097,1106005,1187929,1249126,1292245,1324759,1329139,1330006,1351315,1341977,1305254,1252248,1220326,1159720,1045667,947791
2005/8/26,789160,750142,728070,721083,725963,772216,857443,898832,923363,958609,976587,998980,1009695,1019306,1012432,1001438,995272,992917,975820,969245,980466,943756,881442,817285
2005/8/27,754448,710957,687191,673421,677918,690489,728893,768691,835493,889270,913542,911426,891063,894112,882371,875679,873317,877874,881489,885286,897797,868072,822686,760091
