,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,63068.0,60341.0,58517.0,57045.0,56265.0,56222.0,56749.0,57197.0,59190.0,62042.0,64481.0,66259.0,67942.0,69317.0,70172.0,71067.0,72105.0,73046.0,74248.0,74283.0,74156.0,74468.0,72079.0,68250.0
1,64360.0,61787.0,60191.0,59484.0,59634.0,61233.0,64958.0,69761.0,73163.0,75158.0,76861.0,78520.0,79737.0,80634.0,81666.0,82150.0,82492.0,83033.0,83204.0,82563.0,81513.0,81157.0,78130.0,73512.0
2,69227.0,66075.0,63976.0,62669.0,62367.0,63294.0,66800.0,71029.0,73828.0,75234.0,76201.0,77022.0,77899.0,78512.0,78829.0,78231.0,77066.0,76301.0,76049.0,75305.0,75001.0,75271.0,72889.0,68883.0
3,65055.0,62366.0,60766.0,60038.0,60030.0,61482.0,64925.0,69224.0,71793.0,72176.0,72155.0,72120.0,72059.0,72692.0,73247.0,73145.0,72956.0,73383.0,73479.0,73433.0,72856.0,73820.0,71840.0,67714.0
4,64065.0,61482.0,59849.0,59477.0,59615.0,61207.0,65280.0,69404.0,72197.0,73049.0,73351.0,73809.0,74302.0,74830.0,75110.0,75155.0,74849.0,74787.0,74811.0,74716.0,74105.0,74669.0,72589.0,68454.0
5,64620.0,61894.0,60390.0,59684.0,59885.0,61360.0,65128.0,69181.0,71706.0,72390.0,72826.0,72922.0,73177.0,73320.0,73649.0,73618.0,73191.0,72967.0,72585.0,71997.0,71418.0,71916.0,70098.0,66910.0
6,63456.0,60889.0,59240.0,58277.0,58281.0,58790.0,59741.0,61282.0,63330.0,65034.0,66658.0,67278.0,67637.0,67972.0,68040.0,68452.0,68802.0,69917.0,70501.0,70564.0,69931.0,70307.0,68879.0,65936.0
7,62965.0,60366.0,58898.0,58055.0,57605.0,57801.0,58423.0,59368.0,61643.0,64496.0,66497.0,67469.0,68225.0,68373.0,68426.0,68166.0,68404.0,68622.0,69414.0,69806.0,70301.0,71807.0,70673.0,67611.0
8,64417.0,62416.0,61225.0,60847.0,61324.0,63251.0,67028.0,71721.0,74446.0,75123.0,75412.0,75577.0,75619.0,75651.0,75902.0,75497.0,75406.0,75564.0,75705.0,75540.0,75568.0,76250.0,74201.0,70376.0
9,66837.0,64288.0,63038.0,62241.0,62454.0,64209.0,68024.0,72380.0,74626.0,74834.0,74624.0,74481.0,74469.0,74566.0,74449.0,74122.0,74123.0,74058.0,74145.0,74242.0,74246.0,75004.0,73179.0,69206.0
10,65612.0,63330.0,62076.0,61373.0,61656.0,63462.0,67025.0,71003.0,73202.0,73293.0,73256.0,73456.0,73519.0,73698.0,73869.0,73488.0,73213.0,73069.0,73092.0,72874.0,72812.0,73660.0,72136.0,68084.0
11,64710.0,62513.0,61078.0,60544.0,60934.0,62902.0,66561.0,70863.0,73106.0,73381.0,73494.0,74018.0,74555.0,74759.0,74851.0,74786.0,74486.0,74213.0,73991.0,73698.0,73470.0,74133.0,72545.0,68614.0
12,64577.0,61981.0,60305.0,59605.0,59684.0,61219.0,64760.0,68774.0,71708.0,72741.0,73293.0,73987.0,74434.0,74455.0,75004.0,75123.0,75135.0,74946.0,74705.0,73504.0,72046.0,72349.0,70379.0,66832.0
13,63116.0,60247.0,58425.0,57327.0,56904.0,57289.0,58541.0,59936.0,62064.0,64355.0,66064.0,67235.0,67876.0,68334.0,68571.0,69140.0,69859.0,70326.0,70529.0,70278.0,69365.0,69342.0,68110.0,64845.0
14,61544.0,59120.0,57088.0,56165.0,55710.0,55614.0,56107.0,56829.0,58858.0,61668.0,63945.0,65738.0,67281.0,68359.0,69247.0,70020.0,71057.0,72375.0,73112.0,73138.0,72666.0,73418.0,71612.0,67673.0
15,63886.0,61233.0,59837.0,58927.0,58791.0,60481.0,64091.0,68616.0,71980.0,74024.0,75586.0,77038.0,78115.0,79044.0,79357.0,79361.0,78655.0,78538.0,78551.0,78112.0,77821.0,78028.0,75675.0,71165.0
16,66838.0,64000.0,61972.0,60889.0,60711.0,61603.0,64868.0,69206.0,72651.0,74708.0,76280.0,77626.0,78922.0,80363.0,81584.0,81871.0,81798.0,81780.0,81494.0,80728.0,79756.0,79938.0,77411.0,72870.0
17,68411.0,65195.0,63130.0,61826.0,61257.0,62568.0,65813.0,70075.0,73723.0,76094.0,78109.0,80194.0,81831.0,83319.0,84744.0,85400.0,85850.0,86041.0,86090.0,85343.0,83937.0,83833.0,81160.0,76230.0
18,71372.0,67952.0,65504.0,63940.0,63563.0,64534.0,67771.0,72169.0,76258.0,78984.0,81587.0,84054.0,86715.0,88533.0,90190.0,91178.0,91919.0,92090.0,91561.0,90209.0,88540.0,87920.0,85025.0,79694.0
