Date,CT,FT,IT
2015/7/1,62.6,64.6,70.8
2015/7/2,62.8,65.3,70.4
2015/7/3,68,63.9,69.9
2015/7/4,72.2,66.5,71.9
2015/7/5,76,71.9,73.3
2015/7/6,78.4,73.5,74.2
2015/7/7,69,72.9,74.8
2015/7/8,62.5,62.9,62.7
2015/7/9,66.3,66.6,69.4
2015/7/10,71.5,68.9,68
2015/7/11,73.7,72.6,68.9
2015/7/12,75,74.6,76
2015/7/13,78,72.1,74.2
2015/7/14,78,73.8,77.6
2015/7/15,68.2,67,72.1
2015/7/16,69.4,65.2,71.9
2015/7/17,80,74.2,77.6
2015/7/18,82.5,78.8,77.3
2015/7/19,82.1,79,80.6
2015/7/20,77.6,74.3,78.2
2015/7/21,77.1,74.1,76
2015/7/22,75.9,69.3,71.9
2015/7/23,77.7,71.1,74.7
2015/7/24,79.2,76.3,75.8
2015/7/25,80.8,78.1,76.7
2015/7/26,77.4,76.8,79.7
2015/7/27,80.3,76.8,76.2
2015/7/28,82.9,78.3,81.3
2015/7/29,83.3,79.1,82.4
2015/7/30,80,76.1,76.4
2015/7/31,80.7,75.8,77.1
2015/8/1,78.2,72.9,74.6
2015/8/2,82.5,74.9,75
2015/8/3,77.8,70.8,79.5
2015/8/4,75,69.4,74.2
2015/8/5,75.6,67.8,74.8
2015/8/6,76.2,67.9,70.1
2015/8/7,76.4,68.3,69.7
2015/8/8,78.1,70.5,73.9
2015/8/9,74.6,73.4,75.1
2015/8/10,77.8,73.2,77.3
2015/8/11,75,71.9,74.4
2015/8/12,72.7,68.7,71.3
2015/8/13,75.6,71.6,71.8
2015/8/14,79.4,77.3,74.3
2015/8/15,78,72.5,75.3
2015/8/16,80.7,78.6,74.6
2015/8/17,81.2,80.6,73.6
2015/8/18,75.8,77.2,73.1
2015/8/19,73.9,79.1,76.3
2015/8/20,67.2,71.1,68.5
2015/8/21,71.7,67.6,68.2
2015/8/22,75.3,69.4,70.8
2015/8/23,74.1,70,73.8
2015/8/24,67.4,65.3,66.7
2015/8/25,65.4,60.5,64
2015/8/26,64.2,62.2,68.3
2015/8/27,65.5,62.2,68
2015/8/28,68.8,61.1,69.2
2015/8/29,70.8,68.7,71.9
2015/8/30,71,72.4,76.5
2015/8/31,74.8,70.4,75.8
2015/9/1,80.8,74.4,77.1
2015/9/2,82.2,79.4,77.7
2015/9/3,83.9,73.9,79.2
2015/9/4,76.9,73.4,80.2
2015/9/5,76.9,76.2,76.7
2015/9/6,82.8,77.6,77.6
