Date,D,CT,FT,IT
2015/7/2,77437,62.8,65.3,70.4
2015/7/2,72863,62.8,65.3,70.4
2015/7/2,69862,62.8,65.3,70.4
2015/7/2,67951,62.8,65.3,70.4
2015/7/2,67153,62.8,65.3,70.4
2015/7/2,68405,62.8,65.3,70.4
2015/7/2,71204,62.8,65.3,70.4
2015/7/2,75033,62.8,65.3,70.4
2015/7/2,78999,62.8,65.3,70.4
2015/7/2,82401,62.8,65.3,70.4
2015/7/2,85489,62.8,65.3,70.4
2015/7/2,88452,62.8,65.3,70.4
2015/7/2,90991,62.8,65.3,70.4
2015/7/2,93456,62.8,65.3,70.4
2015/7/2,95601,62.8,65.3,70.4
2015/7/2,97046,62.8,65.3,70.4
2015/7/2,97627,62.8,65.3,70.4
2015/7/2,97675,62.8,65.3,70.4
2015/7/2,96420,62.8,65.3,70.4
2015/7/2,93971,62.8,65.3,70.4
2015/7/2,91118,62.8,65.3,70.4
2015/7/2,89650,62.8,65.3,70.4
2015/7/2,87493,62.8,65.3,70.4
2015/7/2,81759,62.8,65.3,70.4
2015/7/3,75509,68,63.9,69.9
2015/7/3,70928,68,63.9,69.9
2015/7/3,67829,68,63.9,69.9
2015/7/3,65731,68,63.9,69.9
2015/7/3,64468,68,63.9,69.9
2015/7/3,64617,68,63.9,69.9
2015/7/3,65541,68,63.9,69.9
2015/7/3,66816,68,63.9,69.9
2015/7/3,70175,68,63.9,69.9
2015/7/3,75011,68,63.9,69.9
2015/7/3,79584,68,63.9,69.9
2015/7/3,83066,68,63.9,69.9
2015/7/3,85636,68,63.9,69.9
2015/7/3,87807,68,63.9,69.9
2015/7/3,89648,68,63.9,69.9
2015/7/3,90947,68,63.9,69.9
2015/7/3,91958,68,63.9,69.9
2015/7/3,92516,68,63.9,69.9
2015/7/3,92032,68,63.9,69.9
2015/7/3,89891,68,63.9,69.9
2015/7/3,86886,68,63.9,69.9
2015/7/3,85254,68,63.9,69.9
2015/7/3,83291,68,63.9,69.9
2015/7/3,78879,68,63.9,69.9
2015/7/4,73880,72.2,66.5,71.9
2015/7/4,69170,72.2,66.5,71.9
2015/7/4,65909,72.2,66.5,71.9
2015/7/4,63747,72.2,66.5,71.9
2015/7/4,62427,72.2,66.5,71.9
2015/7/4,61990,72.2,66.5,71.9
2015/7/4,61749,72.2,66.5,71.9
2015/7/4,61924,72.2,66.5,71.9
2015/7/4,65173,72.2,66.5,71.9
2015/7/4,70371,72.2,66.5,71.9
2015/7/4,75670,72.2,66.5,71.9
2015/7/4,80105,72.2,66.5,71.9
2015/7/4,83562,72.2,66.5,71.9
2015/7/4,85799,72.2,66.5,71.9
2015/7/4,87258,72.2,66.5,71.9
2015/7/4,88461,72.2,66.5,71.9
2015/7/4,89592,72.2,66.5,71.9
2015/7/4,90115,72.2,66.5,71.9
2015/7/4,89556,72.2,66.5,71.9
2015/7/4,87362,72.2,66.5,71.9
2015/7/4,84060,72.2,66.5,71.9
2015/7/4,81616,72.2,66.5,71.9
2015/7/4,79465,72.2,66.5,71.9
2015/7/4,76962,72.2,66.5,71.9
2015/7/5,73499,76,71.9,73.3
2015/7/5,69123,76,71.9,73.3
2015/7/5,65684,76,71.9,73.3
2015/7/5,63407,76,71.9,73.3
2015/7/5,62006,76,71.9,73.3
2015/7/5,61741,76,71.9,73.3
2015/7/5,61426,76,71.9,73.3
2015/7/5,61889,76,71.9,73.3
2015/7/5,65234,76,71.9,73.3
2015/7/5,70541,76,71.9,73.3
2015/7/5,76446,76,71.9,73.3
2015/7/5,81560,76,71.9,73.3
2015/7/5,86259,76,71.9,73.3
2015/7/5,90197,76,71.9,73.3
2015/7/5,93245,76,71.9,73.3
2015/7/5,95468,76,71.9,73.3
2015/7/5,97478,76,71.9,73.3
2015/7/5,98745,76,71.9,73.3
2015/7/5,98773,76,71.9,73.3
2015/7/5,97116,76,71.9,73.3
2015/7/5,94393,76,71.9,73.3
2015/7/5,93023,76,71.9,73.3
2015/7/5,90712,76,71.9,73.3
2015/7/5,84847,76,71.9,73.3
2015/7/6,78546,78.4,73.5,74.2
2015/7/6,73890,78.4,73.5,74.2
2015/7/6,70589,78.4,73.5,74.2
2015/7/6,68627,78.4,73.5,74.2
2015/7/6,68070,78.4,73.5,74.2
2015/7/6,69453,78.4,73.5,74.2
2015/7/6,72763,78.4,73.5,74.2
2015/7/6,77737,78.4,73.5,74.2
2015/7/6,83383,78.4,73.5,74.2
2015/7/6,88690,78.4,73.5,74.2
2015/7/6,93981,78.4,73.5,74.2
2015/7/6,99120,78.4,73.5,74.2
2015/7/6,103833,78.4,73.5,74.2
2015/7/6,107512,78.4,73.5,74.2
2015/7/6,110262,78.4,73.5,74.2
2015/7/6,111839,78.4,73.5,74.2
2015/7/6,112499,78.4,73.5,74.2
2015/7/6,112783,78.4,73.5,74.2
2015/7/6,111767,78.4,73.5,74.2
2015/7/6,109311,78.4,73.5,74.2
2015/7/6,105673,78.4,73.5,74.2
2015/7/6,103647,78.4,73.5,74.2
2015/7/6,100323,78.4,73.5,74.2
2015/7/6,93076,78.4,73.5,74.2
2015/7/7,86034,69,72.9,74.8
2015/7/7,80824,69,72.9,74.8
2015/7/7,77258,69,72.9,74.8
2015/7/7,75037,69,72.9,74.8
2015/7/7,74129,69,72.9,74.8
2015/7/7,75144,69,72.9,74.8
2015/7/7,78335,69,72.9,74.8
2015/7/7,82385,69,72.9,74.8
2015/7/7,86842,69,72.9,74.8
2015/7/7,90765,69,72.9,74.8
2015/7/7,93967,69,72.9,74.8
2015/7/7,97057,69,72.9,74.8
2015/7/7,98746,69,72.9,74.8
2015/7/7,99626,69,72.9,74.8
2015/7/7,100269,69,72.9,74.8
2015/7/7,99832,69,72.9,74.8
2015/7/7,99402,69,72.9,74.8
2015/7/7,98749,69,72.9,74.8
2015/7/7,96977,69,72.9,74.8
2015/7/7,94756,69,72.9,74.8
2015/7/7,92471,69,72.9,74.8
2015/7/7,91560,69,72.9,74.8
2015/7/7,89363,69,72.9,74.8
2015/7/7,83322,69,72.9,74.8
2015/7/8,77171,62.5,62.9,62.7
2015/7/8,72925,62.5,62.9,62.7
2015/7/8,70227,62.5,62.9,62.7
2015/7/8,68448,62.5,62.9,62.7
2015/7/8,67878,62.5,62.9,62.7
2015/7/8,68970,62.5,62.9,62.7
2015/7/8,72026,62.5,62.9,62.7
2015/7/8,75985,62.5,62.9,62.7
2015/7/8,80518,62.5,62.9,62.7
2015/7/8,84230,62.5,62.9,62.7
2015/7/8,87774,62.5,62.9,62.7
2015/7/8,90355,62.5,62.9,62.7
2015/7/8,92526,62.5,62.9,62.7
2015/7/8,94401,62.5,62.9,62.7
2015/7/8,95930,62.5,62.9,62.7
2015/7/8,96277,62.5,62.9,62.7
2015/7/8,96020,62.5,62.9,62.7
2015/7/8,95956,62.5,62.9,62.7
2015/7/8,95334,62.5,62.9,62.7
2015/7/8,93915,62.5,62.9,62.7
2015/7/8,91916,62.5,62.9,62.7
2015/7/8,91451,62.5,62.9,62.7
2015/7/8,89410,62.5,62.9,62.7
2015/7/8,83755,62.5,62.9,62.7
2015/7/9,78238,66.3,66.6,69.4
2015/7/9,73926,66.3,66.6,69.4
2015/7/9,71250,66.3,66.6,69.4
2015/7/9,69507,66.3,66.6,69.4
2015/7/9,68835,66.3,66.6,69.4
2015/7/9,69973,66.3,66.6,69.4
2015/7/9,73409,66.3,66.6,69.4
2015/7/9,77383,66.3,66.6,69.4
2015/7/9,81700,66.3,66.6,69.4
2015/7/9,85628,66.3,66.6,69.4
2015/7/9,89224,66.3,66.6,69.4
2015/7/9,92748,66.3,66.6,69.4
2015/7/9,95552,66.3,66.6,69.4
2015/7/9,98083,66.3,66.6,69.4
2015/7/9,100416,66.3,66.6,69.4
2015/7/9,101715,66.3,66.6,69.4
2015/7/9,102551,66.3,66.6,69.4
2015/7/9,103118,66.3,66.6,69.4
2015/7/9,102139,66.3,66.6,69.4
2015/7/9,100017,66.3,66.6,69.4
2015/7/9,97491,66.3,66.6,69.4
2015/7/9,96180,66.3,66.6,69.4
2015/7/9,93680,66.3,66.6,69.4
2015/7/9,87363,66.3,66.6,69.4
2015/7/10,80766,71.5,68.9,68
2015/7/10,75865,71.5,68.9,68
2015/7/10,72397,71.5,68.9,68
2015/7/10,70305,71.5,68.9,68
2015/7/10,69573,71.5,68.9,68
2015/7/10,70541,71.5,68.9,68
2015/7/10,73469,71.5,68.9,68
2015/7/10,77469,71.5,68.9,68
2015/7/10,82450,71.5,68.9,68
2015/7/10,87564,71.5,68.9,68
2015/7/10,92232,71.5,68.9,68
2015/7/10,96722,71.5,68.9,68
2015/7/10,100181,71.5,68.9,68
2015/7/10,103080,71.5,68.9,68
2015/7/10,105469,71.5,68.9,68
2015/7/10,106781,71.5,68.9,68
2015/7/10,107510,71.5,68.9,68
2015/7/10,107379,71.5,68.9,68
2015/7/10,106108,71.5,68.9,68
2015/7/10,103649,71.5,68.9,68
2015/7/10,99944,71.5,68.9,68
2015/7/10,97737,71.5,68.9,68
2015/7/10,95245,71.5,68.9,68
2015/7/10,88978,71.5,68.9,68
2015/7/11,82316,73.7,72.6,68.9
2015/7/11,76903,73.7,72.6,68.9
2015/7/11,72889,73.7,72.6,68.9
2015/7/11,70402,73.7,72.6,68.9
2015/7/11,68767,73.7,72.6,68.9
2015/7/11,68548,73.7,72.6,68.9
2015/7/11,68868,73.7,72.6,68.9
2015/7/11,70034,73.7,72.6,68.9
2015/7/11,74298,73.7,72.6,68.9
2015/7/11,80461,73.7,72.6,68.9
2015/7/11,86703,73.7,72.6,68.9
2015/7/11,92067,73.7,72.6,68.9
2015/7/11,96248,73.7,72.6,68.9
2015/7/11,99288,73.7,72.6,68.9
2015/7/11,101784,73.7,72.6,68.9
2015/7/11,103467,73.7,72.6,68.9
2015/7/11,104678,73.7,72.6,68.9
2015/7/11,105107,73.7,72.6,68.9
2015/7/11,104810,73.7,72.6,68.9
2015/7/11,103044,73.7,72.6,68.9
2015/7/11,100015,73.7,72.6,68.9
2015/7/11,97998,73.7,72.6,68.9
2015/7/11,95719,73.7,72.6,68.9
2015/7/11,89981,73.7,72.6,68.9
2015/7/12,83871,75,74.6,76
2015/7/12,78797,75,74.6,76
2015/7/12,74957,75,74.6,76
2015/7/12,72274,75,74.6,76
2015/7/12,70516,75,74.6,76
2015/7/12,69713,75,74.6,76
2015/7/12,69469,75,74.6,76
2015/7/12,69689,75,74.6,76
2015/7/12,73877,75,74.6,76
2015/7/12,80646,75,74.6,76
2015/7/12,87193,75,74.6,76
2015/7/12,93152,75,74.6,76
2015/7/12,98409,75,74.6,76
2015/7/12,102802,75,74.6,76
2015/7/12,106271,75,74.6,76
2015/7/12,108904,75,74.6,76
2015/7/12,111202,75,74.6,76
2015/7/12,112870,75,74.6,76
