Date,D,CT,FT,IT
2015/7/3,75509,72.2,66.5,71.9
2015/7/3,70928,72.2,66.5,71.9
2015/7/3,67829,72.2,66.5,71.9
2015/7/3,65731,72.2,66.5,71.9
2015/7/3,64468,72.2,66.5,71.9
2015/7/3,64617,72.2,66.5,71.9
2015/7/3,65541,72.2,66.5,71.9
2015/7/3,66816,72.2,66.5,71.9
2015/7/3,70175,72.2,66.5,71.9
2015/7/3,75011,72.2,66.5,71.9
2015/7/3,79584,72.2,66.5,71.9
2015/7/3,83066,72.2,66.5,71.9
2015/7/3,85636,72.2,66.5,71.9
2015/7/3,87807,72.2,66.5,71.9
2015/7/3,89648,72.2,66.5,71.9
2015/7/3,90947,72.2,66.5,71.9
2015/7/3,91958,72.2,66.5,71.9
2015/7/3,92516,72.2,66.5,71.9
2015/7/3,92032,72.2,66.5,71.9
2015/7/3,89891,72.2,66.5,71.9
2015/7/3,86886,72.2,66.5,71.9
2015/7/3,85254,72.2,66.5,71.9
2015/7/3,83291,72.2,66.5,71.9
2015/7/3,78879,72.2,66.5,71.9
2015/7/4,73880,76,71.9,73.3
2015/7/4,69170,76,71.9,73.3
2015/7/4,65909,76,71.9,73.3
2015/7/4,63747,76,71.9,73.3
2015/7/4,62427,76,71.9,73.3
2015/7/4,61990,76,71.9,73.3
2015/7/4,61749,76,71.9,73.3
2015/7/4,61924,76,71.9,73.3
2015/7/4,65173,76,71.9,73.3
2015/7/4,70371,76,71.9,73.3
2015/7/4,75670,76,71.9,73.3
2015/7/4,80105,76,71.9,73.3
2015/7/4,83562,76,71.9,73.3
2015/7/4,85799,76,71.9,73.3
2015/7/4,87258,76,71.9,73.3
2015/7/4,88461,76,71.9,73.3
2015/7/4,89592,76,71.9,73.3
2015/7/4,90115,76,71.9,73.3
2015/7/4,89556,76,71.9,73.3
2015/7/4,87362,76,71.9,73.3
2015/7/4,84060,76,71.9,73.3
2015/7/4,81616,76,71.9,73.3
2015/7/4,79465,76,71.9,73.3
2015/7/4,76962,76,71.9,73.3
2015/7/5,73499,78.4,73.5,74.2
2015/7/5,69123,78.4,73.5,74.2
2015/7/5,65684,78.4,73.5,74.2
2015/7/5,63407,78.4,73.5,74.2
2015/7/5,62006,78.4,73.5,74.2
2015/7/5,61741,78.4,73.5,74.2
2015/7/5,61426,78.4,73.5,74.2
2015/7/5,61889,78.4,73.5,74.2
2015/7/5,65234,78.4,73.5,74.2
2015/7/5,70541,78.4,73.5,74.2
2015/7/5,76446,78.4,73.5,74.2
2015/7/5,81560,78.4,73.5,74.2
2015/7/5,86259,78.4,73.5,74.2
2015/7/5,90197,78.4,73.5,74.2
2015/7/5,93245,78.4,73.5,74.2
2015/7/5,95468,78.4,73.5,74.2
2015/7/5,97478,78.4,73.5,74.2
2015/7/5,98745,78.4,73.5,74.2
2015/7/5,98773,78.4,73.5,74.2
2015/7/5,97116,78.4,73.5,74.2
2015/7/5,94393,78.4,73.5,74.2
2015/7/5,93023,78.4,73.5,74.2
2015/7/5,90712,78.4,73.5,74.2
2015/7/5,84847,78.4,73.5,74.2
2015/7/10,80766,73.7,72.6,68.9
2015/7/10,75865,73.7,72.6,68.9
2015/7/10,72397,73.7,72.6,68.9
2015/7/10,70305,73.7,72.6,68.9
2015/7/10,69573,73.7,72.6,68.9
2015/7/10,70541,73.7,72.6,68.9
2015/7/10,73469,73.7,72.6,68.9
2015/7/10,77469,73.7,72.6,68.9
2015/7/10,82450,73.7,72.6,68.9
2015/7/10,87564,73.7,72.6,68.9
2015/7/10,92232,73.7,72.6,68.9
2015/7/10,96722,73.7,72.6,68.9
2015/7/10,100181,73.7,72.6,68.9
2015/7/10,103080,73.7,72.6,68.9
2015/7/10,105469,73.7,72.6,68.9
2015/7/10,106781,73.7,72.6,68.9
2015/7/10,107510,73.7,72.6,68.9
2015/7/10,107379,73.7,72.6,68.9
2015/7/10,106108,73.7,72.6,68.9
2015/7/10,103649,73.7,72.6,68.9
2015/7/10,99944,73.7,72.6,68.9
2015/7/10,97737,73.7,72.6,68.9
2015/7/10,95245,73.7,72.6,68.9
2015/7/10,88978,73.7,72.6,68.9
2015/7/11,82316,75,74.6,76
2015/7/11,76903,75,74.6,76
2015/7/11,72889,75,74.6,76
2015/7/11,70402,75,74.6,76
2015/7/11,68767,75,74.6,76
2015/7/11,68548,75,74.6,76
2015/7/11,68868,75,74.6,76
2015/7/11,70034,75,74.6,76
2015/7/11,74298,75,74.6,76
2015/7/11,80461,75,74.6,76
2015/7/11,86703,75,74.6,76
2015/7/11,92067,75,74.6,76
2015/7/11,96248,75,74.6,76
2015/7/11,99288,75,74.6,76
2015/7/11,101784,75,74.6,76
2015/7/11,103467,75,74.6,76
2015/7/11,104678,75,74.6,76
2015/7/11,105107,75,74.6,76
2015/7/11,104810,75,74.6,76
2015/7/11,103044,75,74.6,76
2015/7/11,100015,75,74.6,76
2015/7/11,97998,75,74.6,76
2015/7/11,95719,75,74.6,76
2015/7/11,89981,75,74.6,76
2015/7/12,83871,78,72.1,74.2
2015/7/12,78797,78,72.1,74.2
2015/7/12,74957,78,72.1,74.2
2015/7/12,72274,78,72.1,74.2
2015/7/12,70516,78,72.1,74.2
2015/7/12,69713,78,72.1,74.2
2015/7/12,69469,78,72.1,74.2
2015/7/12,69689,78,72.1,74.2
2015/7/12,73877,78,72.1,74.2
